"Date","IPOName","LotSize","IssueSize(Crores)","ListingDate","IssuePrice","ListingOpen","ListClose","ListingGains(%)","CMP","CurrentGains(%)"
"16-Oct","RCL Retail","20000","5.8","16-Oct","10.00","10.10","10.45","4.5","10.90","9.00"
"12-Oct","Anshus Clothing","4000","5.05","12-Oct","27.00","26.85","13.58","-49.7","1.72","-93.63"
"24-Sep","Comfort Comm","20000","6","24-Sep","10.00","10.30","10.80","8","34.70","247.00"
"11-Sep","SRG Housing Fin","6000","7.01","11-Sep","20.00","20.30","14.50","-27.5","192.75","863.75"
"04-Sep","Jointeca Edu","8000","5.35","04-Sep","15.00","15.20","15.00","0","16.00","6.67"
"16-Aug","Jupiter Infomed","6000","4.08","16-Aug","20.00","22.00","11.03","-44.85","76.70","283.50"
"09-Aug","Sangam Advisors","6000","5.07","09-Aug","22.00","22.10","14.01","-36.32","30.95","40.68"
"13-Jul","Max Alert Syste","6000","8","13-Jul","20.00","51.50","49.25","146.25","4.62","-76.90"
"14-Mar","Pyxis Finvest","8000","8.85","14-Mar","25.00","27.00","25.35","1.4","29.00","16.00"
"14-Oct","Tijaria Polypip","3300","60","14-Oct","60.00","62.00","18.10","-69.83","8.98","-85.03"
"12-Jan","Shekhawati Poly","6600","36","12-Jan","30.00","32.50","4.75","-84.17","0.26","-99.13"
"11-Oct","Gallantt Ispat","4000","40.5","11-Oct","50.00","81.60","81.60","63.2","210.00","320.00"
