"rank","title","ratings","duration","genre","description","directors"
34,"The Lost City of Z",7.1,"141 min","Action, Adventure, Biography","A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.","Charlie Hunnam"
35,"Sausage Party",6.3,"89 min","Animation, Adventure, Comedy","A sausage strives to discover the truth about his existence.","Seth Rogen"
36,"Colossal",6.3,"109 min","Action, Comedy, Drama","Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.","Anne Hathaway"
37,"Assassin's Creed",5.9,"115 min","Action, Adventure, Drama","When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.","Michael Fassbender"
38,"Jason Bourne",6.7,"123 min","Action, Thriller","The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.","Matt Damon"
39,"The Girl on the Train",6.5,"112 min","Crime, Drama, Mystery","A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.","Emily Blunt"
40,"Why Him?",6.3,"111 min","Comedy","A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.","Zoey Deutch"
41,"Brain on Fire",6.6,"88 min","Biography, Drama","A young, capable professional cannot explain her newly erratic behavior.","Chloë Grace Moretz"
42,"Gold",6.7,"120 min","Adventure, Drama, Thriller","Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.","Matthew McConaughey"
43,"A Family Man",6.4,"108 min","Drama","A headhunter whose life revolves around closing deals in a a survival-of-the-fittest boiler room, battles his top rival for control of their job placement company -- his dream of owning the company clashing with the needs of his family.","Alison Brie"
44,"The Nice Guys",7.4,"116 min","Action, Comedy, Crime","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","Russell Crowe"
45,"Ghostbusters",5.3,"116 min","Action, Comedy, Fantasy","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","Melissa McCarthy"
46,"Zootopia",8.1,"108 min","Animation, Adventure, Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Ginnifer Goodwin"
47,"The Legend of Tarzan",6.3,"110 min","Action, Adventure, Drama","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","Alexander Skarsgård"
48,"The Shallows",6.4,"86 min","Drama, Horror, Thriller","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.","Blake Lively"
49,"Grave",7.2,"99 min","Drama, Horror","When a young vegetarian undergoes a carnivorous hazing ritual at vet school, an unbidden taste for meat begins to grow in her.","Garance Marillier"
50,"War Dogs",7.1,"114 min","Comedy, Crime, Drama","Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.","Jonah Hill"
51,"Resident Evil: The Final Chapter",5.6,"107 min","Action, Horror, Sci-Fi","Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.","Milla Jovovich"
52,"War on Everyone",5.9,"98 min","Action, Comedy","Two corrupt cops set out to blackmail and frame every criminal unfortunate enough to cross their path. Events, however, are complicated by the arrival of someone who appears to be even more dangerous than they are.","Alexander Skarsgård"
53,"Jack Reacher: Never Go Back",6.1,"118 min","Action, Adventure, Crime","Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.","Tom Cruise"
54,"Bad Moms",6.2,"100 min","Comedy","When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.","Mila Kunis"
55,"Keeping Up with the Joneses",5.8,"105 min","Action, Comedy","A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.","Zach Galifianakis"
56,"The Founder",7.2,"115 min","Biography, Drama, History","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness.","Michael Keaton"
57,"Captain Fantastic",7.9,"118 min","Comedy, Drama","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","Viggo Mortensen"
58,"Deepwater Horizon",7.2,"107 min","Action, Drama, Thriller","A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.","Mark Wahlberg"
59,"Silence",7.3,"161 min","Adventure, Drama, History","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.","Andrew Garfield"
60,"The Edge of Seventeen",7.4,"104 min","Comedy, Drama","High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.","Hailee Steinfeld"
61,"Allied",7.1,"124 min","Action, Drama, Romance","In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.","Brad Pitt"
62,"Live by Night",6.4,"129 min","Crime, Drama","A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","Ben Affleck"
63,"The Girl with All the Gifts",6.7,"111 min","Drama, Horror, Thriller","A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.","Gemma Arterton"
64,"Teenage Mutant Ninja Turtles: Out of the Shadows",6,"112 min","Action, Adventure, Comedy","After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.","Megan Fox"
65,"Independence Day: Resurgence",5.3,"120 min","Action, Adventure, Sci-Fi","Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?","Liam Hemsworth"
66,"Don't Breathe",7.2,"88 min","Crime, Horror, Thriller","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","Stephen Lang"
67,"Patriots Day",7.4,"133 min","Crime, Drama, History","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.","Mark Wahlberg"
68,"Free Fire",6.8,"90 min","Action, Comedy, Crime","Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.","Sharlto Copley"
69,"The Exception",6.8,"107 min","Drama, Romance, War","A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.","Lily James"
70,"Lady Macbeth",7.3,"89 min","Drama","Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.","Florence Pugh"
71,"Storks",6.9,"87 min","Animation, Adventure, Comedy","Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.","Andy Samberg"
72,"Underworld: Blood Wars",5.8,"91 min","Action, Adventure, Fantasy","Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.","Kate Beckinsale"
73,"Hell or High Water",7.7,"102 min","Crime, Drama, Thriller","A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.","Chris Pine"
74,"Headshot",6.4,"118 min","Action, Drama, Thriller","Uwais plays a young man who washes ashore, an amnesiac with a serious head injury whose past comes back to haunt him shortly after being nursed back to health by a young doctor. Violence ensues. Sweet, sweet violence.","Iko Uwais"
75,"11:55",5.1,"80 min","Crime, Drama","Returning to his hometown, US Marine Nelson Sanchez finds himself trapped by the violent past he had tried to escape.","Victor Almanzar"
76,"The Jungle Book",7.5,"106 min","Adventure, Drama, Family","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.","Neel Sethi"
77,"Collateral Beauty",6.8,"97 min","Drama, Romance","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.","Will Smith"
78,"Kimi no na wa",8.6,"106 min","Animation, Drama, Fantasy","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Ryûnosuke Kamiki"
79,"10 Cloverfield Lane",7.2,"104 min","Drama, Horror, Mystery","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.","John Goodman"
80,"Now You See Me 2",6.5,"129 min","Action, Adventure, Comedy","The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","Jesse Eisenberg"
81,"Finding Dory",7.4,"97 min","Animation, Adventure, Comedy","The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","Ellen DeGeneres"
82,"Warcraft",7,"123 min","Action, Adventure, Fantasy","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.","Travis Fimmel"
83,"Nerve",6.6,"96 min","Adventure, Crime, Mystery","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""","Emma Roberts"
84,"Inferno",6.2,"121 min","Action, Adventure, Crime","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.","Tom Hanks"
85,"The Axe Murders of Villisca",4.3,"78 min","Horror","'Villisca' is a ghost story based on the house where the notorious and still unsolved 1912 ax murders took place. Three outcast teenagers break into the house in search of answers, but discover something far beyond their worst fears.","Robert Adamson"
86,"The Autopsy of Jane Doe",6.8,"86 min","Horror, Mystery, Thriller","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.","Brian Cox"
87,"Morgan",5.8,"92 min","Horror, Sci-Fi, Thriller","A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.","Kate Mara"
88,"13 Hours",7.3,"144 min","Action, Drama, History","During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.","John Krasinski"
89,"The Conjuring 2",7.4,"134 min","Horror, Mystery, Thriller","Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit.","Vera Farmiga"
90,"Lights Out",6.4,"81 min","Horror","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.","Teresa Palmer"
91,"Sully",7.5,"96 min","Biography, Drama","The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.","Tom Hanks"
92,"The Neon Demon",6.2,"118 min","Horror, Thriller","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.","Elle Fanning"
93,"Miss Sloane",7.4,"132 min","Drama, Thriller","In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.","Jessica Chastain"
94,"Criminal",6.3,"113 min","Action, Crime, Drama","In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.","Kevin Costner"
95,"Below Her Mouth",5.6,"94 min","Drama, Romance","An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.","Erika Linder"
96,"Fallen",5.6,"91 min","Adventure, Drama, Fantasy","A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years.","Joely Richardson"
97,"Havenhurst",5,"80 min","Horror, Mystery, Thriller","A troubled young woman takes up residence in a gothic apartment building where she must confront a terrifying evil.","Julie Benz"
98,"I, Daniel Blake",7.9,"100 min","Drama","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.","Dave Johns"
99,"The Promise",5.9,"133 min","Drama, History","Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.","Oscar Isaac"
100,"Ah-ga-ssi",8.1,"144 min","Drama, Mystery, Romance","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Min-hee Kim"
